epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7523,1.85398,3.25565,2.61272,1.4742,0.68839,0.2897,0.48794,0.2643,0.5667,0.23893,0.37402,0.18024,1.54959,2.61899,2.5317,1.23109,0.000545918,0.000545918,0.000545918
2,98.0072,1.56279,2.46946,1.59034,1.21437,0.71627,0.63303,0.65647,0.35948,0.71647,0.60345,0.62162,0.28697,1.47002,2.32311,1.57256,1.21687,0.0010925,0.0010925,0.0010925
3,132.053,1.54276,2.39686,1.49233,1.20549,0.77972,0.65789,0.73412,0.40784,0.77999,0.63824,0.71978,0.3317,1.46959,2.19577,1.3809,1.21174,0.00162991,0.00162991,0.00162991
4,161.9,1.50687,2.33486,1.40364,1.18663,0.74852,0.76143,0.78475,0.46666,0.72504,0.7533,0.75483,0.36742,1.40216,2.11619,1.24306,1.17055,0.00162574,0.00162574,0.00162574
5,189.056,1.43812,2.20125,1.32916,1.15122,0.859,0.75458,0.80939,0.49705,0.85354,0.74589,0.79521,0.38884,1.37078,1.97586,1.19167,1.13501,0.00161199,0.00161199,0.00161199
6,212.54,1.38978,2.10875,1.28798,1.14345,0.84096,0.76111,0.82798,0.50264,0.8352,0.76005,0.81453,0.40107,1.29069,1.94778,1.15788,1.11651,0.00159824,0.00159824,0.00159824
7,237.085,1.37938,2.07496,1.22916,1.12224,0.85748,0.7523,0.81827,0.48699,0.84531,0.74372,0.80383,0.39281,1.35757,1.93966,1.18915,1.14508,0.00158448,0.00158448,0.00158448
8,266.685,1.3686,2.07459,1.19318,1.10942,0.87783,0.75285,0.83305,0.50116,0.85083,0.75143,0.80457,0.39504,1.2883,1.88339,1.09406,1.09583,0.00157073,0.00157073,0.00157073
9,304.124,1.36304,2.06554,1.16775,1.10338,0.87149,0.7901,0.84842,0.53615,0.8536,0.77803,0.83389,0.42938,1.24377,1.87501,1.03126,1.08341,0.00155698,0.00155698,0.00155698
10,454.893,1.29625,1.97585,1.118,1.07608,0.8731,0.79821,0.84932,0.54844,0.85459,0.7835,0.82503,0.40301,1.23439,1.88297,1.02245,1.07635,0.00154323,0.00154323,0.00154323
11,502.029,1.30984,1.96712,1.10388,1.07963,0.88439,0.80344,0.86179,0.54342,0.86583,0.7893,0.84055,0.42574,1.25655,1.84908,1.03462,1.09052,0.00152947,0.00152947,0.00152947
12,539.745,1.29704,1.92001,1.05541,1.07286,0.88146,0.79565,0.8551,0.53647,0.86611,0.78171,0.83646,0.41711,1.23549,1.81382,0.98489,1.06948,0.00151572,0.00151572,0.00151572
13,568.179,1.27442,1.91838,1.04501,1.0736,0.8562,0.8123,0.85811,0.5514,0.86009,0.81467,0.85671,0.44732,1.21419,1.75273,0.94956,1.06244,0.00150197,0.00150197,0.00150197
14,608.324,1.27338,1.89655,1.02414,1.07667,0.851,0.83654,0.86328,0.56481,0.86032,0.82332,0.86436,0.45416,1.21273,1.73231,0.94567,1.07286,0.00148821,0.00148821,0.00148821
15,631.152,1.24549,1.85995,0.98795,1.06065,0.87915,0.81488,0.86277,0.56466,0.86387,0.80969,0.85064,0.45557,1.21492,1.77178,0.9503,1.06118,0.00147446,0.00147446,0.00147446
16,665.183,1.26284,1.86352,0.9867,1.05769,0.88933,0.8146,0.86597,0.56197,0.88829,0.81427,0.86588,0.45931,1.2072,1.7323,0.92643,1.07406,0.00146071,0.00146071,0.00146071
17,696.185,1.22071,1.81933,0.94616,1.05348,0.89234,0.82623,0.87511,0.57496,0.88942,0.82918,0.87127,0.46089,1.18341,1.67659,0.90061,1.05965,0.00144696,0.00144696,0.00144696
18,770.027,1.21605,1.81689,0.93496,1.04368,0.87043,0.84862,0.87857,0.57941,0.87102,0.83522,0.86265,0.45563,1.1926,1.72329,0.90337,1.05857,0.0014332,0.0014332,0.0014332
19,802.89,1.21998,1.81104,0.95428,1.05306,0.87464,0.85058,0.8822,0.57017,0.85881,0.83916,0.86713,0.4578,1.18583,1.73153,0.90684,1.06077,0.00141945,0.00141945,0.00141945
20,823.701,1.19827,1.79801,0.9147,1.03671,0.88065,0.84617,0.88742,0.58319,0.87293,0.8292,0.87135,0.47493,1.18679,1.71179,0.87678,1.0621,0.0014057,0.0014057,0.0014057
21,874.802,1.20148,1.79922,0.89982,1.03368,0.91055,0.82905,0.87839,0.57248,0.89671,0.8171,0.86706,0.46515,1.2111,1.70243,0.87525,1.07362,0.00139195,0.00139195,0.00139195
22,909.97,1.19995,1.7922,0.89377,1.03754,0.90528,0.82801,0.87824,0.58041,0.90436,0.82647,0.87272,0.47085,1.19847,1.72986,0.86692,1.06061,0.00137819,0.00137819,0.00137819
23,1061.85,1.18036,1.78732,0.90062,1.03438,0.86023,0.83831,0.87786,0.55589,0.84059,0.82074,0.84688,0.43526,1.20679,1.79673,0.87918,1.05837,0.00136444,0.00136444,0.00136444
24,1088.7,1.19543,1.77165,0.87162,1.02989,0.90188,0.82163,0.87974,0.57418,0.89196,0.82284,0.87151,0.45842,1.22079,1.7459,0.88143,1.08337,0.00135069,0.00135069,0.00135069
25,1133.31,1.1947,1.76612,0.86927,1.03573,0.90885,0.83165,0.8853,0.58965,0.89569,0.81804,0.86726,0.46199,1.174,1.68181,0.86223,1.06004,0.00133693,0.00133693,0.00133693
26,1161.7,1.16429,1.74629,0.84321,1.02319,0.89506,0.85284,0.89073,0.59086,0.91821,0.82106,0.87591,0.45524,1.18557,1.72912,0.83227,1.05265,0.00132318,0.00132318,0.00132318
27,1215.74,1.14357,1.72814,0.83727,1.01793,0.89578,0.83183,0.8889,0.59161,0.88588,0.83169,0.88612,0.48671,1.15816,1.64632,0.83511,1.0465,0.00130943,0.00130943,0.00130943
